,_RAJ2000,_DEJ2000,HIP,RAhms,DEdms,Vmag,Plx,e_Plx,B-V,Notes,SpType
21,0.0701064532,-49.3522657419,22,00 00 16.83,-49 21 08.2,8.69,4.47,1.15, 0.962, ,G8/K0III/IV
22,0.0745645488,13.3122342848,23,00 00 17.86,+13 18 44.0,7.57,12.21,0.95, 0.456, ,F2V
23,0.0763866647,-23.4526951227,24,00 00 18.25,-23 27 09.9,9.05,9.73,1.21, 0.528, ,G0V
24,0.0795635338,-44.2905614654,25,00 00 19.05,-44 17 25.1,6.28,13.74,0.98, 0.763, ,G3IV
25,0.0840876191,-13.3933779189,26,00 00 20.24,-13 23 35.9,9.13,9.19,1.34, 0.535, ,F7V
26,0.085909615,-41.2978132404,27,00 00 20.51,-41 17 51.1,9.32,9.66,1.38, 0.671, ,G5V
27,0.0872120694,-43.3618207415,28,00 00 20.94,-43 21 42.5,8.83,5.64,1.05, 0.468, ,F3/F5V
28,0.0922307868,-49.1079452062,29,00 00 22.11,-49 06 28.6,9.14,2.85,1.4, 1.041, ,G8III
29,0.0961079642,42.1414741742,30,00 00 23.07,+42 08 29.4,8.26,3.79,0.88, 0.142, ,A0
30,0.0980820259,2.6754771939,31,00 00 23.54,+02 40 31.7,7.63,1.84,1.05, 1.453, ,K2
31,0.0985822124,51.9394871458,32,00 00 23.66,+51 56 22.2,9.09,3.1,1.29, 0.040, ,B8
32,0.0991718826,-10.4623846687,33,00 00 23.80,-10 27 44.8,8.1,8.94,1.09, 0.466, ,F2
33,0.0995847627,26.9181082481,34,00 00 23.87,+26 55 05.7,6.43,12.71,0.74, 0.514, ,F7.5IV-V
34,0.1029678346,-14.4904842926,35,00 00 24.61,-14 29 25.7,9.07,5.96,1.45, 0.916, ,G8/K0III/IV
35,0.103399146,12.267127714,36,00 00 24.79,+12 16 01.5,7.68,6.3,0.96, 1.150, ,K0
36,0.1053271547,-47.1795667332,37,00 00 25.28,-47 10 46.5,10.44,3.74,2.72, 0.391, ,F0V
37,0.113125915,-79.0619829896,38,00 00 26.65,-79 03 42.6,8.65,23.84,0.78, 0.778, ,G6V
38,0.1122921521,-16.6970092898,39,00 00 26.85,-16 41 48.9,7.46,10.98,1.18, 0.475, ,F3V
39,0.1165709244,54.3022365976,41,00 00 27.98,+54 18 08.1,8.7,3.42,1.04, 0.026, ,A0
40,0.1219509432,67.2167835208,40,00 00 29.27,+67 13 00.4,10.61,-3.4,4.25, 0.570, ,B...
41,0.1254425641,25.8447647671,42,00 00 30.09,+25 50 41.2,8.2,6.38,0.91, 0.387, ,F2
42,0.1287023299,59.559679356,43,00 00 30.98,+59 33 35.1,6.18,7.63,0.6, 1.032, ,G9III-IV
43,0.1327493241,-3.3063227539,44,00 00 31.85,-03 18 22.9,7.91,2.41,1.01, 1.104, ,K2
44,0.1339087125,-72.2027170667,45,00 00 32.21,-72 12 09.8,9.59,15.1,1.92,      , ,G6/G8V:
45,0.1345851827,-25.6222853151,46,00 00 32.29,-25 37 20.1,8.57,1.19,1.2, 1.035, ,K1III
46,0.1349959315,-56.8356023479,47,00 00 32.45,-56 50 06.9,10.78,24.45,1.97, 1.150, ,K3V
47,0.1352357185,-40.6904740567,48,00 00 32.45,-40 41 25.6,7.31,1.86,0.87, 1.164, ,K0/K1III
48,0.1395683011,16.6690487224,49,00 00 33.48,+16 40 08.5,9.53,1.59,1.28, 0.450, ,F5
49,0.1430850464,-53.0977126448,50,00 00 34.29,-53 05 51.6,6.49,16.89,0.8, 0.616, ,G1IV
50,0.1434152117,1.0662126454,51,00 00 34.41,+01 03 58.3,8.94,0.41,1.3, 0.906, ,K0
51,0.1468910146,-77.0201164131,52,00 00 35.20,-77 01 12.5,8.56,3.95,0.77, 0.196, ,A4V
52,0.1474234962,-29.26341397,53,00 00 35.37,-29 15 48.2,10.96,-1.76,2.45,      , ,
53,0.1525936914,17.9689084162,54,00 00 36.40,+17 58 08.2,10.57,20.97,1.71, 1.030, ,M:
54,0.1588334161,-66.6831734054,55,00 00 37.88,-66 40 59.2,7.4,14.66,0.98, 0.551, ,G2IV/V
55,0.162926591,0.2229314796,56,00 00 39.08,+00 13 22.6,8.12,3.47,1.27, 1.329, ,K0
56,0.1679988682,-69.675964961,57,00 00 40.39,-69 40 32.9,8.27,33.89,0.79, 0.863, ,K2V
57,0.173518927,62.1758981384,58,00 00 41.70,+62 10 33.6,7.05,26.06,0.67, 0.520, ,G0
58,0.1744463248,55.7224601908,59,00 00 41.87,+55 43 20.9,9.09,-0.06,1.38, 0.091, ,B5
59,0.1754330477,-64.4657990558,60,00 00 42.10,-64 27 57.0,8.34,6.18,0.83, 0.386, ,F2IV
60,0.1762918211,53.8221456596,61,00 00 42.28,+53 49 19.9,8.86,5.6,1.11, 1.081, ,K5
61,0.1799751511,-45.4227389281,62,00 00 43.19,-45 25 21.8,8.27,5.28,1.15, 0.994, ,G8III
62,0.1818095066,45.2533335847,63,00 00 43.62,+45 15 12.0,6.36,4.81,0.71,-0.047,P,B9p SiEu
63,0.18457262,-27.9075816018,64,00 00 44.30,-27 54 27.2,8.08,3.45,0.94, 1.156, ,K2III
64,0.1871096831,-54.830523685,65,00 00 45.11,-54 49 49.2,11.0,16.98,2.43, 1.147, ,
65,0.1884242533,-72.318220255,66,00 00 45.25,-72 19 05.7,8.55,8.18,0.88, 0.401, ,F2V
66,0.199342707,23.5382187125,67,00 00 47.78,+23 32 17.7,7.83,7.48,0.93, 0.495, ,F5
67,0.2003829227,16.9881971773,68,00 00 48.15,+16 59 20.3,8.79,31.8,1.17, 0.940, ,K0
68,0.2014181885,30.3958896703,69,00 00 48.33,+30 23 45.2,8.33,6.35,1.12, 0.135, ,A0
69,0.2026581845,36.777637311,70,00 00 48.67,+36 46 39.5,10.42,5.25,13.87, 0.706, ,
70,0.2070254615,36.7801059571,71,00 00 49.70,+36 46 48.6,8.26,9.13,1.84, 0.846, ,G5
71,0.2199319023,-12.8289609656,72,00 00 52.67,-12 49 43.2,8.97,10.63,1.25, 0.671, ,G3/G5V
72,0.2203287297,66.8480110818,73,00 00 52.91,+66 50 52.7,6.9,3.97,0.69, 1.446, ,K2
73,0.2223452058,35.7526241534,74,00 00 53.25,+35 45 09.8,9.93,24.22,1.36, 1.068, ,K5
